# git_commit: 89304bcda945da516850c3ae8bf4cc2cc413abf4
# recorded_at: 2026-09-20T05:32:30Z
# name_columns_superseded_by: 21e5080 (PR #8, wuku-table-fix-20260919)
# schema: cycle_position|...|WUKU_NAME (column 13)
IDX|GREGORIAN|DEW_POS|WUKU_IDX|WUKU_NAME|PAN|SAP|TRI|SAD|CAT|AST|SNG|DAS|DWI|DEW_LUANG_PROXY
63|1981-10-25|64|10|Sungsang|4|1|1|4|4|8|1|5|Pepet|F
64|1981-10-26|65|10|Sungsang|5|2|2|5|1|1|2|7|Pepet|F
65|1981-10-27|66|10|Sungsang|1|3|3|6|2|2|3|8|Menga|T
66|1981-10-28|67|10|Sungsang|2|4|1|1|3|3|4|1|Menga|T
67|1981-10-29|68|10|Sungsang|3|5|2|2|4|4|5|8|Menga|T
68|1981-10-30|69|10|Sungsang|4|6|3|3|1|5|6|1|Menga|T
69|1981-10-31|70|10|Sungsang|5|7|1|4|2|6|7|1|Menga|T
70|1981-11-01|71|11|Kuningan|1|1|2|5|3|7|8|1|Menga|T
71|1981-11-02|72|11|Kuningan|2|2|3|6|3|7|9|2|Pepet|F
72|1981-11-03|73|11|Kuningan|3|3|1|1|4|8|1|3|Pepet|F
73|1981-11-04|74|11|Kuningan|4|4|2|2|2|2|2|4|Pepet|F
74|1981-11-05|75|11|Kuningan|5|5|3|3|3|3|3|5|Pepet|F
75|1981-11-06|76|11|Kuningan|1|6|1|4|4|4|4|4|Pepet|F
76|1981-11-07|77|11|Kuningan|2|7|2|5|1|5|5|6|Menga|T
77|1981-11-08|78|12|Langkir|3|1|3|6|2|6|6|7|Pepet|F
78|1981-11-09|79|12|Langkir|4|2|1|1|3|7|7|8|Menga|T
79|1981-11-10|80|12|Langkir|5|3|2|2|4|8|8|9|Menga|T
80|1981-11-11|81|12|Langkir|1|4|3|3|1|1|9|6|Menga|T
81|1981-11-12|82|12|Langkir|2|5|1|4|2|2|1|4|Pepet|F
82|1981-11-13|83|12|Langkir|3|6|2|5|3|3|2|10|Menga|T
83|1981-11-14|84|12|Langkir|4|7|3|6|4|4|3|3|Pepet|F
84|1981-11-15|85|13|Medangsia|5|1|1|1|1|5|4|10|Menga|T
85|1981-11-16|86|13|Medangsia|1|2|2|2|2|6|5|5|Pepet|F
86|1981-11-17|87|13|Medangsia|2|3|3|3|3|7|6|10|Menga|T
87|1981-11-18|88|13|Medangsia|3|4|1|4|4|8|7|2|Pepet|F
88|1981-11-19|89|13|Medangsia|4|5|2|5|1|1|8|6|Menga|T
89|1981-11-20|90|13|Medangsia|5|6|3|6|2|2|9|2|Pepet|F
90|1981-11-21|91|13|Medangsia|1|7|1|1|3|3|1|9|Menga|T
91|1981-11-22|92|14|Pujut|2|1|2|2|4|4|2|8|Menga|T
92|1981-11-23|93|14|Pujut|3|2|3|3|1|5|3|9|Menga|T
93|1981-11-24|94|14|Pujut|4|3|1|4|2|6|4|2|Pepet|F
94|1981-11-25|95|14|Pujut|5|4|2|5|3|7|5|8|Menga|T
95|1981-11-26|96|14|Pujut|1|5|3|6|4|8|6|3|Pepet|F
96|1981-11-27|97|14|Pujut|2|6|1|1|1|1|7|5|Pepet|F
97|1981-11-28|98|14|Pujut|3|7|2|2|2|2|8|5|Pepet|F
98|1981-11-29|99|15|Pamaglong|4|1|3|3|3|3|9|5|Pepet|F
99|1981-11-30|100|15|Pamaglong|5|2|1|4|4|4|1|7|Pepet|F
100|1981-12-01|101|15|Pamaglong|1|3|2|5|1|5|2|8|Menga|T
101|1981-12-02|102|15|Pamaglong|2|4|3|6|2|6|3|1|Menga|T
102|1981-12-03|103|15|Pamaglong|3|5|1|1|3|7|4|8|Menga|T
103|1981-12-04|104|15|Pamaglong|4|6|2|2|4|8|5|1|Menga|T
104|1981-12-05|105|15|Pamaglong|5|7|3|3|1|1|6|1|Menga|T
105|1981-12-06|106|16|Bala|1|1|1|4|2|2|7|1|Menga|T
106|1981-12-07|107|16|Bala|2|2|2|5|3|3|8|2|Pepet|F
107|1981-12-08|108|16|Bala|3|3|3|6|4|4|9|3|Pepet|F
108|1981-12-09|109|16|Bala|4|4|1|1|1|5|1|4|Pepet|F
109|1981-12-10|110|16|Bala|5|5|2|2|2|6|2|5|Pepet|F
110|1981-12-11|111|16|Bala|1|6|3|3|3|7|3|4|Pepet|F
111|1981-12-12|112|16|Bala|2|7|1|4|4|8|4|6|Menga|T
112|1981-12-13|113|17|Ugu|3|1|2|5|1|1|5|7|Pepet|F
113|1981-12-14|114|17|Ugu|4|2|3|6|2|2|6|8|Menga|T
114|1981-12-15|115|17|Ugu|5|3|1|1|3|3|7|9|Menga|T
115|1981-12-16|116|17|Ugu|1|4|2|2|4|4|8|6|Menga|T
116|1981-12-17|117|17|Ugu|2|5|3|3|1|5|9|4|Pepet|F
117|1981-12-18|118|17|Ugu|3|6|1|4|2|6|1|10|Menga|T
118|1981-12-19|119|17|Ugu|4|7|2|5|3|7|2|3|Pepet|F
119|1981-12-20|120|18|Wayang|5|1|3|6|4|8|3|10|Menga|T
120|1981-12-21|121|18|Wayang|1|2|1|1|1|1|4|5|Pepet|F
121|1981-12-22|122|18|Wayang|2|3|2|2|2|2|5|10|Menga|T
122|1981-12-23|123|18|Wayang|3|4|3|3|3|3|6|2|Pepet|F
123|1981-12-24|124|18|Wayang|4|5|1|4|4|4|7|6|Menga|T
124|1981-12-25|125|18|Wayang|5|6|2|5|1|5|8|2|Pepet|F
125|1981-12-26|126|18|Wayang|1|7|3|6|2|6|9|9|Menga|T
126|1981-12-27|127|19|Klawu|2|1|1|1|3|7|1|8|Menga|T
127|1981-12-28|128|19|Klawu|3|2|2|2|4|8|2|9|Menga|T
128|1981-12-29|129|19|Klawu|4|3|3|3|1|1|3|2|Pepet|F
129|1981-12-30|130|19|Klawu|5|4|1|4|2|2|4|8|Menga|T
130|1981-12-31|131|19|Klawu|1|5|2|5|3|3|5|3|Pepet|F
131|1982-01-01|132|19|Klawu|2|6|3|6|4|4|6|5|Pepet|F
132|1982-01-02|133|19|Klawu|3|7|1|1|1|5|7|5|Pepet|F
133|1982-01-03|134|20|Dukut|4|1|2|2|2|6|8|5|Pepet|F
134|1982-01-04|135|20|Dukut|5|2|3|3|3|7|9|7|Pepet|F
135|1982-01-05|136|20|Dukut|1|3|1|4|4|8|1|8|Menga|T
136|1982-01-06|137|20|Dukut|2|4|2|5|1|1|2|1|Menga|T
137|1982-01-07|138|20|Dukut|3|5|3|6|2|2|3|8|Menga|T
138|1982-01-08|139|20|Dukut|4|6|1|1|3|3|4|1|Menga|T
139|1982-01-09|140|20|Dukut|5|7|2|2|4|4|5|1|Menga|T
140|1982-01-10|141|21|Watugunung|1|1|3|3|1|5|6|1|Menga|T
