date|reference_sapt|reference_panc|reference_wuku|ref_wuku_idx|source|DEW_sapt|DEW_panc|DEW_wku|DEW_wku_name|DEW_match_sapt|DEW_match_panc|DEW_match_wku|CAL_sapt|CAL_panc|CAL_wku|CAL_match_sapt|CAL_match_panc|CAL_match_wku
2026-09-01|Anggara|Umanis|Uye|22|kalenderbali.org page title: '1 September 2026 (Anggara Umanis Uye)'|3|1|10|Sungsang|OK|NO|NO|3|1|22|OK|NO|OK
2026-09-05|Saniscara|Keliwon|Uye|22|liputan6.com + kalenderbali.org: '5 September 2026, bertepatan dengan Saniscara Keliwon Wuku Uye' / '5 September 2026 (Tumpek Kandang (Saniscara Keliwon Uye))'|7|5|10|Sungsang|OK|NO|NO|7|5|22|OK|NO|OK
2026-09-09|Buda|Wage|Menail|23|kalenderbali.org + liputan6 + detik + pelajahin: '9 September 2026 (Buda Wage Menail)'|4|4|11|Kuningan|OK|NO|NO|4|4|23|OK|NO|OK
2026-09-15|Anggara|Kliwon|Prangbakat|24|kalenderbali.org + liputan6: '15 September 2026 (Anggara Kasih Prangbakat)'|3|5|12|Langkir|OK|NO|NO|3|5|24|OK|NO|OK
2026-09-17|Wraspati|Paing|Prangbakat|24|kalenderbali.org page title: '17 September 2026 (Wraspati Paing Prangbakat)'|5|2|12|Langkir|OK|NO|NO|5|2|24|OK|NO|OK
2026-09-26|Saniscara|Umanis|Bala|25|kalenderbali.org + liputan6: '26 September 2026 (Purnama Kapat, Saniscara Umanis Bala)'|7|1|13|Medangsia|OK|NO|NO|7|1|25|OK|NO|OK
2026-09-30|Buda|Keliwon|Ugu|26|kalenderbali.org + detik: '30 September 2026 (Buda Keliwon Ugu)'|4|5|14|Pujut|OK|NO|NO|4|5|26|OK|NO|OK
