POS|CAL_SHIFTED|LUANG|DWI|TRI|CAT|PAN|SAD|SAP|AST|SNG|DAS
131|132|T|2|3|2|2|6|6|6|3|6
132|133|F|1|1|3|3|1|7|7|4|7
133|134|T|2|2|4|4|2|1|8|5|0
134|135|F|1|3|1|5|3|2|1|6|3
135|136|F|1|1|2|1|4|3|2|7|9
136|137|F|1|2|3|2|5|4|3|8|7
137|138|T|2|3|4|3|6|5|4|9|6
138|139|F|1|1|1|4|1|6|5|1|1
139|140|T|2|2|2|5|2|7|6|2|8
140|141|F|1|3|3|1|3|1|7|3|1
141|142|T|2|1|4|2|4|2|8|4|4
142|143|F|1|2|1|3|5|3|1|5|1
143|144|T|2|3|2|4|6|4|2|6|2
144|145|F|1|1|3|5|1|5|3|7|7
145|146|T|2|2|4|1|2|6|4|8|2
146|147|F|1|3|1|2|3|7|5|9|9
147|148|F|1|1|2|3|4|1|6|1|3
148|149|F|1|2|3|4|5|2|7|2|9
149|150|T|2|3|4|5|6|3|8|3|2
150|151|F|1|1|1|1|1|4|1|4|3
151|152|T|2|2|2|2|2|5|2|5|8
152|153|T|2|3|3|3|3|6|3|6|4
153|154|T|2|1|4|4|4|7|4|7|4
154|155|T|2|2|1|5|5|1|5|8|4
155|156|T|2|3|2|1|6|2|6|9|0
156|157|F|1|1|3|2|1|3|7|1|3
157|158|F|1|2|4|3|2|4|8|2|5
158|159|F|1|3|1|4|3|5|1|3|3
159|160|F|1|1|2|5|4|6|2|4|5
160|161|F|1|2|3|1|5|7|3|5|5
161|162|F|1|3|4|2|6|1|4|6|5
162|163|T|2|1|1|3|1|2|5|7|2
163|164|T|2|2|2|4|2|3|6|8|8
164|165|T|2|3|3|5|3|4|7|9|6
165|166|T|2|1|4|1|4|5|8|1|4
166|167|T|2|2|1|2|5|6|1|2|6
167|168|F|1|3|2|3|6|7|2|3|7
168|169|T|2|1|3|4|1|1|3|4|0
169|170|F|1|2|4|5|2|2|4|5|3
170|171|F|1|3|1|1|3|3|5|6|9
171|172|F|1|1|2|2|4|4|6|7|7
172|173|T|2|2|3|3|5|5|7|8|6
173|174|F|1|3|4|4|6|6|8|9|1
174|175|T|2|1|1|5|1|7|1|1|8
175|176|F|1|2|2|1|2|1|2|2|1
176|177|T|2|3|3|2|3|2|3|3|4
177|178|F|1|1|4|3|4|3|4|4|1
178|179|T|2|2|1|4|5|4|5|5|2
179|180|F|1|3|2|5|6|5|6|6|7
180|181|T|2|1|3|1|1|6|7|7|2
181|182|F|1|2|4|2|2|7|8|8|9
182|183|F|1|3|1|3|3|1|1|9|3
183|184|F|1|1|2|4|4|2|2|1|9
184|185|T|2|2|3|5|5|3|3|2|2
185|186|F|1|3|4|1|6|4|4|3|3
186|187|T|2|1|1|2|1|5|5|4|8
187|188|T|2|2|2|3|2|6|6|5|4
188|189|T|2|3|3|4|3|7|7|6|4
189|190|T|2|1|4|5|4|1|8|7|4
190|191|T|2|2|1|1|5|2|1|8|0
191|192|F|1|3|2|2|6|3|2|9|3
192|193|F|1|1|3|3|1|4|3|1|5
193|194|F|1|2|4|4|2|5|4|2|3
194|195|F|1|3|1|5|3|6|5|3|5
195|196|F|1|1|2|1|4|7|6|4|5
196|197|F|1|2|3|2|5|1|7|5|5
197|198|T|2|3|3|3|6|2|7|6|2
198|199|T|2|1|3|4|1|3|7|7|8
199|200|T|2|2|4|5|2|4|8|8|6
200|201|T|2|3|1|1|3|5|1|9|4
201|202|T|2|1|2|2|4|6|2|1|6
202|203|F|1|2|3|3|5|7|3|2|7
203|204|T|2|3|4|4|6|1|4|3|0
204|205|F|1|1|1|5|1|2|5|4|3
205|206|F|1|2|2|1|2|3|6|5|9
206|207|F|1|3|3|2|3|4|7|6|7
207|208|T|2|1|4|3|4|5|8|7|6
208|209|F|1|2|1|4|5|6|1|8|1
209|210|T|2|3|2|5|6|7|2|9|8
