# git_commit: 73db67d269db4b4de527d7d09f7f69fdcb408ae4
# recorded_at: 2026-09-20T05:32:30Z
# invariant_across: 21e5080 (PR #8, wuku-table-fix-20260919) — no name columns
POS|DEWATA_POS|LUANG|DWI|TRI|CAT|PAN|SAD|SAP|AST|SNG|DAS
115|116|T|Menga|2|4|1|2|4|4|8|6
116|117|F|Pepet|3|1|2|3|5|5|9|4
117|118|T|Menga|1|2|3|4|6|6|1|10
118|119|F|Pepet|2|3|4|5|7|7|2|3
119|120|T|Menga|3|4|5|6|1|8|3|10
120|121|F|Pepet|1|1|1|1|2|1|4|5
121|122|T|Menga|2|2|2|2|3|2|5|10
122|123|F|Pepet|3|3|3|3|4|3|6|2
123|124|T|Menga|1|4|4|4|5|4|7|6
124|125|F|Pepet|2|1|5|5|6|5|8|2
125|126|T|Menga|3|2|1|6|7|6|9|9
126|127|T|Menga|1|3|2|1|1|7|1|8
127|128|T|Menga|2|4|3|2|2|8|2|9
128|129|F|Pepet|3|1|4|3|3|1|3|2
129|130|T|Menga|1|2|5|4|4|2|4|8
130|131|F|Pepet|2|3|1|5|5|3|5|3
131|132|F|Pepet|3|4|2|6|6|4|6|5
132|133|F|Pepet|1|1|3|1|7|5|7|5
133|134|F|Pepet|2|2|4|2|1|6|8|5
134|135|F|Pepet|3|3|5|3|2|7|9|7
135|136|T|Menga|1|4|1|4|3|8|1|8
136|137|T|Menga|2|1|2|5|4|1|2|1
137|138|T|Menga|3|2|3|6|5|2|3|8
138|139|T|Menga|1|3|4|1|6|3|4|1
139|140|T|Menga|2|4|5|2|7|4|5|1
140|141|T|Menga|3|1|1|3|1|5|6|1
141|142|F|Pepet|1|2|2|4|2|6|7|2
142|143|F|Pepet|2|3|3|5|3|7|8|3
143|144|F|Pepet|3|4|4|6|4|8|9|4
144|145|F|Pepet|1|1|5|1|5|1|1|5
145|146|F|Pepet|2|2|1|2|6|2|2|4
146|147|T|Menga|3|3|2|3|7|3|3|6
147|148|F|Pepet|1|4|3|4|1|4|4|7
148|149|T|Menga|2|1|4|5|2|5|5|8
149|150|T|Menga|3|2|5|6|3|6|6|9
150|151|T|Menga|1|3|1|1|4|7|7|6
151|152|F|Pepet|2|4|2|2|5|8|8|4
152|153|T|Menga|3|1|3|3|6|1|9|10
153|154|F|Pepet|1|2|4|4|7|2|1|3
154|155|T|Menga|2|3|5|5|1|3|2|10
155|156|F|Pepet|3|4|1|6|2|4|3|5
156|157|T|Menga|1|1|2|1|3|5|4|10
157|158|F|Pepet|2|2|3|2|4|6|5|2
158|159|T|Menga|3|3|4|3|5|7|6|6
159|160|F|Pepet|1|4|5|4|6|8|7|2
160|161|T|Menga|2|1|1|5|7|1|8|9
161|162|T|Menga|3|2|2|6|1|2|9|8
162|163|T|Menga|1|3|3|1|2|3|1|9
163|164|F|Pepet|2|4|4|2|3|4|2|2
164|165|T|Menga|3|1|5|3|4|5|3|8
165|166|F|Pepet|1|2|1|4|5|6|4|3
166|167|F|Pepet|2|3|2|5|6|7|5|5
167|168|F|Pepet|3|4|3|6|7|8|6|5
168|169|F|Pepet|1|1|4|1|1|1|7|5
169|170|F|Pepet|2|2|5|2|2|2|8|7
170|171|T|Menga|3|3|1|3|3|3|9|8
171|172|T|Menga|1|4|2|4|4|4|1|1
